Название поля,Тип,Формат,Описание
DISCOUNTVALUE,O,Число положительное,Размер скидки
RECIPIENTCONTACTFACE,O,Строка (70),Контактное лицо
RECIPIENTPHONE,O,Строка (35),Телефон получателя
RECIPIENTCITY,O,Строка (35),Город получателя
RECIPIENTADRESS,O,Строка (70),Адрес получателя
EDIINTERCHANGEID,O,Строка (70),Номер транзакции
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,М,Число положительное,Номер товарной позиции
PRODUCT,M,"Число (8, 10, 14)",Штрихкод продукта
PRODUCTIDSUPPLIER,O,Строка (16),Артикул в БД
PRODUCTIDBUYER,O,Строка (16),Артикул в БД покупателя
BUYERPARTNUMBER,О,Строка (16),Внутренний системный номер артикула в БД покупателя
ORDEREDQUANTITY,M,Число положительное,Заказанное количество
QUANTITYOFCUINTU,О,Число положительное,Количество в упаковке
ORDERUNIT,О,Строка (3),Единицы измерения
QUANTITYOFPACKS,О,Число положительное,Количество упаковок
ORDERPRICE,O,Число десятичное,Цена продукта без НДС
PRICEWITHVAT,O,Число десятичное,Цена продукта с НДС
AMOUNT,O,Число десятичное,Сумма товара (без НДС)
AMOUNTWITHVAT,О,Число десятичное,Сумма товара (с НДС)
VAT,O,Число десятичное,"Ставка НДС, %"
CLAIMEDDELIVERYDATE,O,Дата (ГГГГ-ММ-ДД),Объявленная дата доставки
CLAIMEDDELIVERYTIME,O,Время (чч:мм),Объявленное время доставки
DELIVERYPLACE,О,Число (13),GLN конечного места доставки
INFOCODED,O,Строка (35),Инфокод
MINIMUMORDERQUANTITY,O,Число положительное,Минимальное заказанное количество
MAXIMUMORDERQUANTITY,O,Число положительное,Максимально допустимое отгружаемое количество
PRODUCTIONCODE,О,Строка (16),Код алкогольной продукции
POSITIONKGM,М, ,Всего килограмм по позиции
INFO,O,Строка (90),Свободный текст
COMPAIGNNUMBER,O,Строка (70),Номер поставщика
EARLIESTDELIVERYDATE,O,Дата (ГГГГ-ММ-ДД),Поставка не раньше указанной даты
LATESTDELIVERYDATE,O,Дата (ГГГГ-ММ-ДД),Поставка не позднее указанной даты
LATESTDELIVERYTIME,O,Время (чч:мм),Поставка не позднее указанного времени
CONDITIONSTATUS,О,Строка (3),Статус кондиции
PACKAGEID,O,Число положительное,Идентификатор упаковки
CATEGORYNAME,O,Строка (70),Наименование категории товара
BRENDNAME,O,Строка (70),Наименование бренда
GROUPNAME, , ,Наименование группы товара
NOVELTY,O, ,Новинка
COUNTPIECESINBOX,O,Число положительное,Количество частей в упаковке
COUNTBOXESINLAYER,O,Число положительное,Количество упаковок на уровне
COUNTPERPALLET,O,Число положительное,Количество на паллете
WEIGHT,O,Число десятичное,Вес
PALLETS,O,Число положительное,Количество паллет
COUNTRYORIGIN,О,Строка (2),Страна производитель
CALIBRE,O,Число положительное,Диаметр
PRICEWITHDISCOUNT,O,Число десятичное,Цена с учетом скидки
BOXESCOUNT,O,Число положительное,Количество упаковок
**CHARACTERISTIC**, , ,Характеристики (начало блока)
DESCRIPTION,О,Строка (70),Описание продукта
**CHARACTERISTIC**, , ,Характеристики (окончание блока)
**PACKING**, , ,Упаковка (начало блока)
PACKINGTYPE,O,Строка (3),Тип упаковки
PACKINGQUANTITY,O,Число положительное,Количество упаковок
PACKINGUNIT,O,Число положительное,Упаковщик
**PACKING**, , ,Упаковка (окончание блока)
**POSITION**, , ,Товарные позиции (окончание блока)
**HEAD**, , ,Окончание основного блока
**ORDER**, , ,Окончание документа
