Назва поля,Тип,Формат,Опис
ДатаЗамовлення,О,Дата (РРРР-ММ-ДД),Дата здійснення замовлення
НомерДоговоруПоставки,О, ,"Номер договору, за яким здійснюється поставка "
ДатаДоговоруПоставки,О,Дата (РРРР-ММ-ДД),"Дата договору, за яким здійснюється поставка "
ПлановаДатаДоставки, ,Дата (РРРР-ММ-ДД),Планова дата доставки 
МісцеСкладання, , ,Місце складання документу
НомерТовУзгодження,О,Строка (16),Номер товарного узгодження 
ДатаТовУзгодження,О,Дата (РРРР-ММ-ДД),Дата товарного узгодження 
НомерКонтракту,О,Строка (16),Номер контракту 
ДатаКонтракту,О,Дата (РРРР-ММ-ДД),Дата контракту 
**ТермінДії**,О,Кількість входжень вузла: Min = 0; Max = 1,"Термін, на період якого документ вважається чинним (початок блоку)"
Початок,М,Дата (РРРР-ММ-ДД),Дата початку дії документу
Кінець,М,Дата (РРРР-ММ-ДД),Дата закінчення терміну дії документу
**ТермінДії**, , ,"Термін, на період якого документ вважається чинним (завершення блоку)"
**ТермінПідпису**,О, ,"Термін, у межах якого можна підписати документ (початок блоку)"
Початок, ,Дата (РРРР-ММ-ДД),Дата початку терміну дії підписання
Кінець, ,Дата (РРРР-ММ-ДД),Дата закінчення терміну дії підписання
**ТермінПідпису**, , ,"Термін, у межах якого можна підписати документ (завершення блоку)"
**ПеріодНаданняПослуг**, , ,"Термін, на період якого надаються послуги (початок блоку)"
Початок,О,Дата (РРРР-ММ-ДД),"Дата початку періоду, на час якого надаються послуги "
Кінець,О,Дата (РРРР-ММ-ДД),"Дата закінчення періоду, на час якого надаються послуги"
**ПеріодНаданняПослуг**, , ,"Термін, на період якого надаються послуги (завершення блоку)"
МісцеСкладання,О,Строка (100),Місце укладання документу
Коментар,О,Строка (50),Максимальна кількість тегів – 10. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**ДокПідстава**,О,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,М,Строка (30),Номер документу-підстави
ТипДокументу,М,Строка (50),"Типи документів:
Договір
Додаткова угода  
Протокол розбіжностей  
Акт приймання продукції (товару) за кількістю та якістю
Акт про виявлені недоліки
Видаткова накладна
Прибуткова накладна
Товарна специфікація
Акт невідповідності
Накладна
Повідомлення про повернення
Накладна на повернення
Акт виконаних робіт
Акт звірки взаєморозрахунків
Акт взаємозаліку
Рахунок-фактура
Акт про виявлення невідповідностей
Акт наданих послуг
Звіт комітенту
Накладна на переміщення
Повідомлення про відмову від підписання документу
Анулювання
Специфікація послуг по перевезеннях
Звіт комітенту по еквайрингу
Рахунок по еквайрингу
Зведена специфікація послуг
Товарна накладна
Заявка на транспортно-експедиційне обслуговування
Акт звірки взаєморозрахунків зведений"
КодТипуДокументу,М,«001» / «002» ...,"Допустимі значення:
001 = Договір; 002 = Додаткова угода; 003 = Протокол розбіжностей; 004 = Акт приймання продукції (товару) за кількістю та якістю; 005 = Акт про виявлені недоліки; 006 = Видаткова накладна; 007 = Прибуткова накладна; 008 = Товарна специфікація; 009 = Акт невідповідності; 010 = Накладна; 011 = Повідомлення про повернення; 012 = Накладна на повернення; 013 = Акт виконаних робіт; 014 = Акт звірки взаєморозрахунків; 015 = Акт взаємозаліку; 016 = Рахунок-фактура; 017 = Акт про виявлення невідповідностей; 018 = Акт наданих послуг; 019 = Анулювання; 020 = Звіт комітенту; 021 = Повідомлення про відмову від підписання документу; 022 = Накладна на переміщення; 023 = Специфікація послуг по перевезеннях; 024 = Звіт комітенту по еквайрингу; 025 = Рахунок по еквайрингу; 026 = Зведена специфікація послуг; 027 = Товарна накладна; 028 = Заявка на транспортно-експедиційне обслуговування; 029 = Акт звірки взаєморозрахунків зведений"
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**ДокументЩоАнулюється**, , ,"Документ, що аннулюється (початок блоку)"
НомерДокументу,М,Строка (20),"Номер документу, що анулюється "
ТипДокументу, , ,"Типи документів:
Договір
Додаткова угода  
Протокол розбіжностей  
Акт приймання продукції (товару) за кількістю та якістю
Акт про виявлені недоліки
Видаткова накладна
Прибуткова накладна
Товарна специфікація
Акт невідповідності
Накладна
Повідомлення про повернення
Накладна на повернення
Акт виконаних робіт
Акт звірки взаєморозрахунків
Акт взаємозаліку
Рахунок-фактура
Акт про виявлення невідповідностей
Акт наданих послуг
Звіт комітенту
Накладна на переміщення
Повідомлення про відмову від підписання документу
Анулювання
Специфікація послуг по перевезеннях
Звіт комітенту по еквайрингу
Рахунок по еквайрингу
Зведена специфікація послуг
Товарна накладна
Заявка на транспортно-експедиційне обслуговування
Акт звірки взаєморозрахунків зведений"
КодТипуДокументу, ,«001» ... «028»,"Допустимі значення:
001 = Договір; 002 = Додаткова угода; 003 = Протокол розбіжностей; 004 = Акт приймання продукції (товару) за кількістю та якістю; 005 = Акт про виявлені недоліки; 006 = Видаткова накладна; 007 = Прибуткова накладна; 008 = Товарна специфікація; 009 = Акт невідповідності; 010 = Накладна; 011 = Повідомлення про повернення; 012 = Накладна на повернення; 013 = Акт виконаних робіт; 014 = Акт звірки взаєморозрахунків; 015 = Акт взаємозаліку; 016 = Рахунок-фактура; 017 = Акт про виявлення невідповідностей; 018 = Акт наданих послуг; 019 = Анулювання; 020 = Звіт комітенту; 021 = Повідомлення про відмову від підписання документу; 022 = Накладна на переміщення; 023 = Специфікація послуг по перевезеннях; 024 = Звіт комітенту по еквайрингу; 025 = Рахунок по еквайрингу; 026 = Зведена специфікація послуг; 027 = Товарна накладна; 028 = Заявка на транспортно-експедиційне обслуговування; 029 = Акт звірки взаєморозрахунків зведений"
ДатаДокументу,М,Дата (РРРР-ММ-ДД),"Дата документу, що анулюється "
**ДокументЩоАнулюється**, , ,"Документ, що аннулюється (завершення блоку)"
**Відхилив**, , ,"До заповнення реквізитами компанії, що відхиляє документ (початок блоку)"
СтатусКонтрагента,М,Строка (30),"Допустимі значення:
Покупець
Отримувач 
Продавець 
Замовник 
Виконавець
Перевізник
Платник
Підрядник
Відправник
Вантажоодержувач
Вантажовідправник
Експедитор
Клієнт
Консультант"
ВидОсоби,М,Строка (20),"Допустимі значення:
Юридична
Фізична"
НазваКонтрагента,М,Строка (50),Назва контрагента
КодКонтрагента,М,Строка (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
**ІПН**, , ,Блок індивідуального податкового номера
СвідоцтвоПДВ,О,Integer (10),Свідоцтво платника ПДВ (податку на додану вартість)
МФО,О,Строка,МФО банку 
Телефон,О,Строка (20),Телефон контрагента
**ІПН**, , ,Блок індивідуального податкового номера
**Відхилив**, , ,"До заповнення реквізитами компанії, що відхиляє документ (завершення блоку)"
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,М,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,М,Строка (30),"Допустимі значення:
Покупець
Отримувач 
Продавець 
Замовник 
Виконавець
Перевізник
Платник
Підрядник
Відправник
Вантажоодержувач
Вантажовідправник
Експедитор
Клієнт
Консультант"
ВидОсоби,М,Строка (20),"Допустимі значення:
Юридична
Фізична "
НазваКонтрагента,М,Строка (50),Назва контрагента
КодКонтрагента,М,Строка (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,М,Строка (12),Індивідуальний податковий номер контрагента
СвідоцтвоПДВ,О,Integer (10),Свідоцтво ПДВ контрагента
МФО,О,Integer (6),МФО банку контрагента
ПоточРах,О,Строка ,Поточний рахунок контрагента 
Банк, , ,Банк контрагента
Телефон,О,Строка (20),Телефон
GUID,О,Строка (36),Глобальний унікальний ідентифікатор (GUID) контрагента  
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
ВОсобіДиректора, , ,Директор
**ЮрАдреса**,О, ,Юридична адреса контрагента (початок блоку)
Індекс,М,Integer (5),Індекс
Область,О,Строка (50),Область
Місто,М,Строка (50),Місто
Вулиця,М,Строка (50),Вулиця
**ЮрАдреса**, , ,Юридична адреса контрагента (завершення блоку) 
**ФактАдреса**,О, ,Фактична адреса контрагента (початок блоку)
Індекс,М,Integer (5),Індекс
Область,О,Строка (50),Область
Місто,М,Строка (50),Місто
Вулиця,М,Строка (50),Вулиця
**ФактАдреса**, , ,Фактична адреса контрагента (завершення блоку) 
**ПоштАдреса**,О, ,Поштова адреса контрагента (початок блоку)
Індекс,М,Integer (5),Індекс
Область,О,Строка (50),Область
Місто,М,Строка (50),Місто
Вулиця,М,Строка (50),Вулиця
**ПоштАдреса**, , ,Поштова адреса контрагента (завершення блоку)
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**Парамети**,О, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до специфікації"
Параметр,O,Строка (50),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
Текст,O,Строка,"Тег призначений для передачі значного об’єму тексту (наприклад, текст договору, додаткової угоди, тощо).  Розмір тексту необмежений. Весь текст має бути вкладений в конструкцію: <![CDATA[текст]]>"
**Таблиця**,О,Кількітьходженьвузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,М,Integer (3),Номер позиції
Штрихкод,О,Integer (13),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
АртикулПокупця,О,Строка (10),Артикул покупця
АртикулПродавця,О,Строка (10),Артикул продавця
КодУКТЗЕД,О,Integer (10),Код товару згідно з УКТ ЗЕД; для COMDOC 006 значення не менше 4 і не більше 10 символів
Найменування,М,Строка (50),Найменування товарної позиції
ЗаявленаКількість,О,Decimal (#.00),Заявлена кількість товарних позицій 
ПрийнятаКількість,О,Decimal (#.00),Прийнята кількість товарних позицій 
ПунктНавантаженняАдреса,М,Строка (200),"Адреса навантаження
Для COMDOC 018 ""ПунктНавантаженняАдреса"" і ""ПунктРозвантаженняАдреса"" заповнюється в одній клітинці через дефіс"
ПунктРозвантаженняАдреса,М,Строка (200),"Адреса розвантаження
Для COMDOC 018 ""ПунктНавантаженняАдреса"" і ""ПунктРозвантаженняАдреса"" заповнюється в одній клітинці через дефіс"
ТЗНомерАвто,М,Строка (10),Державний номер автомобіля
ТЗНомерПричіп,О,Строка (10),Державний номер причепа
НомерТТН,М,Строка (20),Номер товарно-транспортної накладної
ДатаТТН,М,Дата (РРРР-ММ-ДД),Дата товарно-транспортної накладної 
МасаБрутто,М,Decimal (#.00),Вага товару 
ДовжинаВантажу,О,Decimal (#.00),Довжина вантажу 
ОбємВантажу,О,Decimal (#.00),Об'єм вантажу 
КількістьМісць,О,Decimal (#.00),"Кількість вантажних місць, палет "
СтрокТранспортування,О,Decimal (#.00),"Термін доставки, днів"
Примітка,О,Строка (200),Примітка
МісцеПроведенняРоботи,О, ,Місце проведення роботи
КількістьОдВЯщику,О, ,Кількість одиниць в ящику (шт/кг) 
ФактичнаКількістьЯщиків,О, ,Фактична кількість ящиків 
КількістьПоНакладній,О, ,Кількість по накладній
ПоставляємаКількість,О, ,Кількість доставлених одиниць 
ОдиницяВиміру,О,Строка (10),"Одиниці виміру:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;    г. – грам;"
БазоваЦіна,О,Decimal (#.00),Ціна за одиницю без ПДВ
ПДВ,О,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
Ціна,О,Decimal (#.00),Ціна за одиницю з ПДВ
ЦінаФакт, , ,Фактична ціна
ЦінаПостачальника, , ,Ціна постачальника
ЦінаПоДокументу, , ,Ціна по документу
СумаНакладна, , ,По накладній
СумаПрийнято, , ,Прийнята сума
Номер,О, ,Номер
Дата,О,Дата (РРРР-ММ-ДД),Дата
НакладнаНомер, , ,Номер накладної
НомерЗамовлення,О,Строка (20),Номер замовлення
МаршрутВідправлено, , ,"Пункт відправлення товару
(Для COMDOC 023 пункти ""Відправлено"" і ""Отримано"" заповнюються в одній клітинці ""Маршрут"")"
МаршрутОтримано, , ,"Пункт отримання товару
(Для COMDOC 023 пункти ""Відправлено"" і ""Отримано"" заповнюються в одній клітинці ""Маршрут"")"
Кількість,М,Decimal (#.00),Кількість одиниць товару 
Вага,О, ,Вага 
Сума,О,Decimal (#.00),Сума вартості товару 
СумаСтрахування,О, ,Сума страхування 
Платник,О, ,ПІБ платника 
Відправник,О, ,ПІБ відправника 
Отримувач,О, ,ПІБ отримувача 
АдресаДоставки,О, ,Адреса доставки
ЗонаДоставки,О, ,Зона доставки
КількістьПромо,О, ,Кількість товарів промо 
СтавкаПДВ, , ,Ставка податку на додану вартість
Текст,О,Строка (100),Додаткова інформація
**ІД**, , ,Ідентифікатори позиції (початок блоку)
НомПоз,М,Integer (3),Номер позиції
Штрихкод,О,Integer (13),Штрихкод
**ІД**, , ,Ідентифікатори позиції (завершення блоку)
АртикулПокупця,О,Строка (10),Артикул покупця
АртикулПродавця,О,Строка (10),Артикул продавця
КодУКТЗЕД, , ,Код товару згідно з УКТ ЗЕД 
Найменування,М,Строка (50),Найменування товарної позиції
МісцеПроведенняРоботи, , ,Місце проведення роботи
ЗаявленаКількість,О,Decimal (#.00),Заявлена кількість товарних позицій
ПрийнятаКількість,О,Decimal (#.00),Прийнята кількість товарних позицій
БазоваЦіна, , ,Базова ціна
Ціна, , ,Ціна
**ВсьогоПоРядку**,О,Кількість входжень вузла: Min = 0; Max = 1,Загальна сума по рядку (початок блоку)
СумаБезПДВ,О,Decimal (#.00),Сума без ПДВ
СумаПДВ,О,Decimal (#.00),Сума ПДВ
Сума,О,Decimal (#.00),Сума
СумаЗнижки, , ,Сума знижки
ПроцентЗнижки,О,Integer (10),Процент знижки
ДатаПродажу,О,Дата (РРРР-ММ-ДД),Дата продажу
ФактЦенаПродажи, , ,Фактична ціна продажу
ФактЦенаВозвПокуп, , ,Фактична ціна повернення покупки
ФактЦенаВозвКомис, , ,Фактична комісія при поверненні 
СумКомитенту, , ,Сума комітенту 
СумаВинагороди, , ,Сума винагороди
Вага, , ,Вага
**ВсьогоПоРядку**, , ,Загальна сума по рядку (завершення блоку)
СумаПДВ,О,Decimal (#.00),Сума ПДВ
**Надлишки**,О, ,Надлишки (початок блоку)
Кількісні,М,Decimal (#.00),Кількісні надлишки
Цінові,М,Decimal (#.00),Цінові надлишки
**Надлишки**, , ,Надлишки (завершення блоку)
**Нестачі**,О, ,Нестачі (початок блоку)
Кількісні,М,Decimal (#.00),Кількісні нестачі
Цінові,М,Decimal (#.00),Цінові нестачі
**Нестачі**, , ,Нестачі (завершення блоку)
**ДоПовернення**, , ,Повернення (початок блоку)
Кількість,М,Decimal (#.00),Кількість товарних одиниць до повернення
ОдиницяВиміру,О,Строка (10) ,"Одиниці виміру:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;    г. – грам;"
**ДоПовернення**, , ,Повернення (завершення блоку)
**Взаєморозрахунки**, , ,Взаєморозрахунки (початок блоку)
ДатаОперації , ,Дата (РРРР-ММ-ДД),Дата операції
Дебет , , ,Дебет
Кредит , , ,Кредит
**Взаєморозрахунки**, , ,Взаєморозрахунки (завершення блоку)
**ЦінаРегулярна**, , ,Регулярна ціна (початок блоку)
ЦінаБезПДВ, , ,Ціна без ПДВ
ЦінаЗПДВ, , ,Ціна з ПДВ
ЦінаЗіЗнижкоюБезПДВ, , ,Ціна зі знижкою без ПДВ
ЦінаЗіЗнижкоюЗПДВ, , ,Ціна зі знижкою з ПДВ
**ЦінаРегулярна**, , ,Регулярна ціна (завершення блоку)
**СтараЦіна**, , ,Стара ціна (початок блоку)
ЦінаБезПДВ, , ,Ціна без ПДВ
ЦінаЗПДВ, , ,Ціна з ПДВ
ЦінаЗіЗнижкоюБезПДВ, , ,Ціна зі знижкою без ПДВ
ЦінаЗіЗнижкоюЗПДВ, , ,Ціна зі знижкою з ПДВ
**СтараЦіна**, , ,Стара ціна (завершення блоку)
**ПромоЦіна**, , ,Промо ціна (початок блоку)
ЦінаБезПДВ, , ,Ціна без ПДВ
ЦінаЗПДВ, , ,Ціна з ПДВ
**ПромоЦіна**, , ,Промо ціна (завершення блоку)
**ВсьогоПоДокументу**, , ,Підсумкові значення за документом (початок блоку)
СумаБезПДВ,О,Decimal (#.00),Сума без ПДВ за всіма позиціями  
ПДВ, , ,Сума ПДВ за всіма позиціями
Сума,О,Decimal (#.00),Сума за всіма позиціями
ВсьогоНадлишків, , ,Всього надлишків за всіма позиціями
ВсьогоНестач, , ,Всього нестач за всіма позиціями
Дебет, , ,Сума дебету за всіма позиціями
Кредит, , ,Сума кредиту за всіма позиціями
**ВсьогоПоДокументу**, , ,Підсумкові значення за документом (завершення блоку)
НомерДокументу,М,Строка (20),Номер документу
ТипДокументу,М,Строка (50),"Типи документів:
Договір
Додаткова угода  
Протокол розбіжностей  
Акт приймання продукції (товару) за кількістю та якістю
Акт про виявлені недоліки
Видаткова накладна
Прибуткова накладна
Товарна специфікація
Акт невідповідності
Накладна
Повідомлення про повернення
Накладна на повернення
Акт виконаних робіт
Акт звірки взаєморозрахунків
Акт взаємозаліку
Рахунок-фактура
Акт про виявлення невідповідностей
Акт наданих послуг
Звіт комітенту
Накладна на переміщення
Повідомлення про відмову від підписання документу
Анулювання
Специфікація послуг по перевезеннях
Звіт комітенту по еквайрингу
Рахунок по еквайрингу
Зведена специфікація послуг
Товарна накладна
Заявка на транспортно-експедиційне обслуговування
Акт звірки взаєморозрахунків зведений"
КодТипуДокументу,М,«001» ... «028»,"Допустимі значення:
001 = Договір; 002 = Додаткова угода; 003 = Протокол розбіжностей; 004 = Акт приймання продукції (товару) за кількістю та якістю; 005 = Акт про виявлені недоліки; 006 = Видаткова накладна; 007 = Прибуткова накладна; 008 = Товарна специфікація; 009 = Акт невідповідності; 010 = Накладна; 011 = Повідомлення про повернення; 012 = Накладна на повернення; 013 = Акт виконаних робіт; 014 = Акт звірки взаєморозрахунків; 015 = Акт взаємозаліку; 016 = Рахунок-фактура; 017 = Акт про виявлення невідповідностей; 018 = Акт наданих послуг; 019 = Анулювання; 020 = Звіт комітенту; 021 = Повідомлення про відмову від підписання документу; 022 = Накладна на переміщення; 023 = Специфікація послуг по перевезеннях; 024 = Звіт комітенту по еквайрингу; 025 = Рахунок по еквайрингу; 026 = Зведена специфікація послуг; 027 = Товарна накладна; 028 = Заявка на транспортно-експедиційне обслуговування; 029 = Акт звірки взаєморозрахунків зведений"
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата документу
Індекс,М,Integer (5),Індекс
Область,О,Строка (50),Область
Місто,М,Строка (50),Місто
Вулиця,М,Строка (50),Вулиця
Текст,О,Строка (100),Додаткова інформація
ОдиницяВиміру,О,Строка (10) ,"Одиниці виміру:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;    г. – грам;"
ПДВ,О,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
СумаБезПДВ,О,Decimal (#.00),Сума без ПДВ
Сума,О,Decimal (#.00),Сума
Кількісні, , ,Кількісні
Цінові, , ,Цінові
**Причина**,O,Кількість входжень вузла: Min = 0; Max = 1,Причина для повернення (початок блоку)
Код,M,Integer (3),"Код причини повернення:
1-Зіпсований
2- Брак
3- Бій
4- Невідповідність ціни
5- Відсутність в замовленні
6- Недовіз
7- Без документів
8- Пересорт
9- Невідповідність штрих-коду
10- Відсутність в БД
11- Нетоварний вигляд
12- Бомбаж
13- Розвакуумація
14- Понад заказу
15- Невідповідність назви
16- Невідповідність грамовки
17- Відсутність сертифікатів
18- Відсутність терміну придатності
19- Відсутність ветеринарного свідоцтва
20- Відсутність акцизних марок
21- Відсутність інформаціі для покупців
22- Відсутність рекомендованої ціни на тютюнових виробах
23- Відсутність дати виготовлення
24- Відсутність кінцевого терміну реалізації
25- Надлишки
26- Малий термін
27- Протерміновано
28- Лог дані
29- Паллетизация"
Опис,O,Строка (50),Найменування причини повернення
Кількість,M,Decimal (#.00),Кількість товарних одиниць до повернення
ОдиницяВиміру,  ,Строка (10),"Одиниці виміру:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;     г. – грам;"
НаСуму,O, ,Сумарна вартість товару до повернення
**Причина**, , ,Причина для повернення (завершення блоку)
**ДоПовернення**,О, ,"Товар, що підлягає поверненню (початок блоку)"
Код,М,Integer (3),"Код причини повернення:
1-Зіпсований  
2- Брак  
3- Бій  
4- Невідповідність ціни  
5- Відсутність в замовленні  
6- Недовіз  
7- Без документів  
8- Пересорт  
9- Невідповідність штрих-коду  
10- Відсутність в БД  
11- Нетоварний вигляд  
12- Бомбаж  
13- Розвакуумація  
14- Понад заказу  
15- Невідповідність назви  
16- Невідповідність грамовки  
17- Відсутність сертифікатів  
18- Відсутність терміну придатності  
19- Відсутність ветеринарного свідоцтва  
20- Відсутність акцизних марок  
21- Відсутність інформаціі для покупців  
22- Відсутність рекомендованої ціни на тютюнових виробах  
23- Відсутність дати виготовлення  
24- Відсутність кінцевого терміну реалізації
25- Надлишки
26- Малий термін
27- Протерміновано"
Опис,О,Строка (50),Найменування причини повернення
НаСуму,О, ,Сумарна вартість товару до повернення
Кількість,М,Decimal (#.00),Кількість товарних одиниць до повернення
ОдиницяВиміру,М,Строка (10),"Одиниці виміру:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;     г. – грам;"
**ПричинаПовернення**,О, ,Причина повернення товару (початок блоку)
Код,М,Строка (3),Код причини повернення. Допустимі значення: 12E - Товар повертається згідно умов договору
Опис,О,Строка (30),Найменування причини повернення
**ПричинаПовернення**, , ,Причина повернення товару (завершення блоку)
**ДоПовернення**, , ,"Товар, що підлягає поверненню (завершення блоку)"
**РозходженняПоРядку**, , ,Розходження (початок блоку)
Сума,О,Decimal (#.00),Сума
ЦінаНеПрийнята, , ,Ціна розходження
КількістьНеПрийнята, , ,Кількість розходження
СумаНеПрийнята, , ,Сума розходження
**РозходженняПоРядку**, , ,Розходження (завершення блоку)
ЦінаПостачальника, , ,Ціна постачальника
Текст,О,Строка (100),Додаткова інформація 
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ВсьогоПоДокументу**,О,Сумарні значення позицій за документом (початок блоку),
СумаБезПДВ,О,Decimal (#.00),Сума без ПДВ
ПДВ,О,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
Сума,О,Decimal (#.00),Сума	 
**ВсьогоПоДокументу**,О, ,Сумарні значення позицій за документом (завершення блоку)
**ЕлектроннийДокумент**,О, ,Завершення документу
