Назва поля,Тип,Формат,Опис
Кінець, ,Дата (РРРР-ММ-ДД),Дата закінчення терміну дії підписання
**ТермінПідпису**, , ,"Термін, у межах якого можна підписати документ (завершення блоку)"
**ПеріодНаданняПослуг**, , ,"Термін, на період якого надаються послуги (початок блоку)"
Початок,О,Дата (РРРР-ММ-ДД),"Дата початку періоду, на час якого надаються послуги "
Кінець,О,Дата (РРРР-ММ-ДД),"Дата закінчення періоду, на час якого надаються послуги"
**ПеріодНаданняПослуг**, , ,"Термін, на період якого надаються послуги (завершення блоку)"
МісцеСкладання,О,Рядок (100),Місце укладання документу
Коментар,О,Рядок (50),Максимальна кількість тегів – 10. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**ДокПідстава**,О,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,М,Рядок (30),Номер документу-підстави
ТипДокументу,М,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,М,«001» / «002» / «003» ...,"Допустимі значення:
001 => Договір; 002 => Додаткова угода; 003 => Протокол розбіжностей..."
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**ДокументЩоАнулюється**, , ,"Документ, що аннулюється (початок блоку)"
НомерДокументу,М,Рядок (20),"Номер документу, що анулюється "
ТипДокументу,М,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,М,«001» / «002» / «003» ...,"Допустимі значення:
001 => Договір; 002 => Додаткова угода; 003 => Протокол розбіжностей..."
ДатаДокументу,М,Дата (РРРР-ММ-ДД),"Дата документу, що анулюється "
**ДокументЩоАнулюється**, , ,"Документ, що аннулюється (завершення блоку)"
**Відхилив**, , ,"До заповнення реквізитами компанії, що відхиляє документ (початок блоку)"
СтатусКонтрагента,М,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,М,Рядок (20),"Допустимі значення:
Юридична;
Фізична"
НазваКонтрагента,М,Рядок (50),Назва контрагента
КодКонтрагента,М,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
**ІПН**, , ,Блок індивідуального податкового номера
СвідоцтвоПДВ,О,Integer (10),Свідоцтво платника ПДВ (податку на додану вартість)
МФО,О,Рядок,МФО банку 
Телефон,О,Рядок (20),Телефон контрагента
**ІПН**, , ,Блок індивідуального податкового номера
**Відхилив**, , ,"До заповнення реквізитами компанії, що відхиляє документ (завершення блоку)"
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,М,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,М,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,М,Рядок (20),"Допустимі значення:
Юридична;
Фізична "
НазваКонтрагента,М,Рядок (50),Назва контрагента
КодКонтрагента,М,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,М,Рядок (12),Індивідуальний податковий номер контрагента
СвідоцтвоПДВ,О,Integer (10),Свідоцтво ПДВ контрагента
МФО,О,Integer (6),МФО банку контрагента
ПоточРах,О,Рядок ,Поточний рахунок контрагента
IBAN,О,Рядок ,IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках) 
Банк, , ,Банк контрагента
Телефон,О,Рядок (20),Телефон
GUID,О,Рядок (36),Глобальний унікальний ідентифікатор (GUID) контрагента  
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
ВОсобіДиректора, , ,Директор
**ЮрАдреса**,О, ,Юридична адреса контрагента (початок блоку)
Індекс,М,Integer (5),Індекс
Область,О,Рядок (50),Область
Місто,М,Рядок (50),Місто
Вулиця,М,Рядок (50),Вулиця
**ЮрАдреса**, , ,Юридична адреса контрагента (завершення блоку) 
**ФактАдреса**,О, ,Фактична адреса контрагента (початок блоку)
Індекс,М,Integer (5),Індекс
Область,О,Рядок (50),Область
Місто,М,Рядок (50),Місто
Вулиця,М,Рядок (50),Вулиця
**ФактАдреса**, , ,Фактична адреса контрагента (завершення блоку) 
**ПоштАдреса**,О, ,Поштова адреса контрагента (початок блоку)
Індекс,М,Integer (5),Індекс
Область,О,Рядок (50),Область
Місто,М,Рядок (50),Місто
Вулиця,М,Рядок (50),Вулиця
**ПоштАдреса**, , ,Поштова адреса контрагента (завершення блоку)
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**Параметри**,О, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до специфікації"
Параметр,O,Рядок (50),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**Параметри**,О, ,Параметри (завершення блоку)
Текст,O,Рядок,"Тег призначений для передачі значного об’єму тексту (наприклад, текст договору, додаткової угоди, тощо).  Розмір тексту необмежений. Весь текст має бути вкладений в конструкцію: <![CDATA[текст]]>"
**Таблиця**,О,Кількітьходженьвузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,М,Integer (3),Номер позиції
Штрихкод,О,Integer (13),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
АртикулПокупця,О,Рядок (10),Артикул покупця
АртикулПродавця,О,Рядок (10),Артикул продавця
КодУКТЗЕД,О,Integer (10),Код товару згідно з УКТ ЗЕД; для COMDOC 006 значення не менше 4 і не більше 10 символів
Найменування,М,Рядок (50),Найменування товарної позиції
ЗаявленаКількість,О,Decimal (#.00),Заявлена кількість товарних позицій 
ПрийнятаКількість,О,Decimal (#.00),Прийнята кількість товарних позицій 
ПунктНавантаженняАдреса,М,Рядок (200),"Адреса навантаження
Для COMDOC 018 ""ПунктНавантаженняАдреса"" і ""ПунктРозвантаженняАдреса"" заповнюється в одній клітинці через дефіс"
ПунктРозвантаженняАдреса,М,Рядок (200),"Адреса розвантаження
Для COMDOC 018 ""ПунктНавантаженняАдреса"" і ""ПунктРозвантаженняАдреса"" заповнюється в одній клітинці через дефіс"
ТЗНомерАвто,М,Рядок (10),Державний номер автомобіля
ТЗНомерПричіп,О,Рядок (10),Державний номер причепа
НомерТТН,М,Рядок (20),Номер товарно-транспортної накладної
ДатаТТН,М,Дата (РРРР-ММ-ДД),Дата товарно-транспортної накладної 
МасаБрутто,М,Decimal (#.00),Вага товару 
ДовжинаВантажу,О,Decimal (#.00),Довжина вантажу 
ОбємВантажу,О,Decimal (#.00),Об'єм вантажу 
КількістьМісць,О,Decimal (#.00),"Кількість вантажних місць, палет "
СтрокТранспортування,О,Decimal (#.00),"Термін доставки, днів"
Примітка,О,Рядок (200),Примітка
МісцеПроведенняРоботи,О, ,Місце проведення роботи
КількістьОдВЯщику,О, ,Кількість одиниць в ящику (шт/кг) 
ФактичнаКількістьЯщиків,О, ,Фактична кількість ящиків 
КількістьПоНакладній,О, ,Кількість по накладній
ПоставляємаКількість,О, ,Кількість доставлених одиниць 
ОдиницяВиміру,О,Рядок (10),"Одиниці виміру:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;    г. – грам..."
БазоваЦіна,О,Decimal (#.00),Ціна за одиницю без ПДВ
ПДВ,О,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
Ціна,О,Decimal (#.00),Ціна за одиницю з ПДВ
ЦінаФакт, , ,Фактична ціна
ЦінаПостачальника, , ,Ціна постачальника
ЦінаПоДокументу, , ,Ціна по документу
СумаНакладна, , ,По накладній
СумаПрийнято, , ,Прийнята сума
Номер,О, ,Номер
Дата,О,Дата (РРРР-ММ-ДД),Дата
НакладнаНомер, , ,Номер накладної
НомерЗамовлення,О,Рядок (20),Номер замовлення
ШтрихкодТрансУпаковкиSSCC,О,"Число (14, 18)",Штрихкод транспортной упаковки SSCC
МаршрутВідправлено, , ,"Пункт відправлення товару
(Для COMDOC 023 пункти ""Відправлено"" і ""Отримано"" заповнюються в одній клітинці ""Маршрут"")"
МаршрутОтримано, , ,"Пункт отримання товару
(Для COMDOC 023 пункти ""Відправлено"" і ""Отримано"" заповнюються в одній клітинці ""Маршрут"")"
Кількість,М,Decimal (#.00),Кількість одиниць товару 
Вага,О, ,Вага 
Сума,О,Decimal (#.00),Сума вартості товару 
СумаСтрахування,О, ,Сума страхування 
Платник,О, ,ПІБ платника 
Відправник,О, ,ПІБ відправника 
Отримувач,О, ,ПІБ отримувача 
АдресаДоставки,О, ,Адреса доставки
ЗонаДоставки,О, ,Зона доставки
КількістьПромо,О, ,Кількість товарів промо 
СтавкаПДВ, , ,Ставка податку на додану вартість
Текст,О,Рядок (100),Додаткова інформація
**ІД**, , ,Ідентифікатори позиції (початок блоку)
НомПоз,М,Integer (3),Номер позиції
Штрихкод,О,Integer (13),Штрихкод
**ІД**, , ,Ідентифікатори позиції (завершення блоку)
АртикулПокупця,О,Рядок (10),Артикул покупця
АртикулПродавця,О,Рядок (10),Артикул продавця
КодУКТЗЕД, , ,Код товару згідно з УКТ ЗЕД 
Найменування,М,Рядок (50),Найменування товарної позиції
МісцеПроведенняРоботи, , ,Місце проведення роботи
ЗаявленаКількість,О,Decimal (#.00),Заявлена кількість товарних позицій
ПрийнятаКількість,О,Decimal (#.00),Прийнята кількість товарних позицій
БазоваЦіна, , ,Базова ціна
Ціна, , ,Ціна
**ВсьогоПоРядку**,О,Кількість входжень вузла: Min = 0; Max = 1,Загальна сума по рядку (початок блоку)
СумаБезПДВ,О,Decimal (#.00),Сума без ПДВ
СумаПДВ,О,Decimal (#.00),Сума ПДВ
Сума,О,Decimal (#.00),Сума
СумаЗнижки, , ,Сума знижки
ПроцентЗнижки,О,Integer (10),Процент знижки
ДатаПродажу,О,Дата (РРРР-ММ-ДД),Дата продажу
ФактЦенаПродажи, , ,Фактична ціна продажу
ФактЦенаВозвПокуп, , ,Фактична ціна повернення покупки
ФактЦенаВозвКомис, , ,Фактична комісія при поверненні 
СумКомитенту, , ,Сума комітенту 
СумаВинагороди, , ,Сума винагороди
СумаНестач, ,Decimal (#.00),Сума недостачі
СумаШтрафу, ,Decimal (#.00),Сума штрафу
Вага, , ,Вага
**ВсьогоПоРядку**, , ,Загальна сума по рядку (завершення блоку)
СумаПДВ,О,Decimal (#.00),Сума ПДВ
**Надлишки**,О, ,Надлишки (початок блоку)
Кількісні,М,Decimal (#.00),Кількісні надлишки
Цінові,М,Decimal (#.00),Цінові надлишки
**Надлишки**, , ,Надлишки (завершення блоку)
**Нестачі**,О, ,Нестачі (початок блоку)
Кількісні,М,Decimal (#.00),Кількісні нестачі
Цінові,М,Decimal (#.00),Цінові нестачі
**Нестачі**, , ,Нестачі (завершення блоку)
**ДоПовернення**, , ,Повернення (початок блоку)
Кількість,М,Decimal (#.00),Кількість товарних одиниць до повернення
ОдиницяВиміру,О,Рядок (10) ,"Одиниці виміру:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;    г. – грам..."
**ДоПовернення**, , ,Повернення (завершення блоку)
**Взаєморозрахунки**,O, ,Взаєморозрахунки (початок блоку)
**Документ**,M,Min=1; Max=1,"Ініціатор процесу завжди заповнює. В акті з розходженнями може бути відсутнім"
Дата,M,Дата (РРРР-ММ-ДД),"Дата операції. В акті з розходженнями може бути відсутнім"
Номер,M,Рядок (20),"В акті з розходженнями може бути відсутнім"
Найменування,O,Рядок (50),"Тип документу"
ВидОперації,O,Рядок (20),"Вид Операції. Доступно для заповнення лише Ініціатору процесу"
Підрозділ,O,Рядок (30),"Підрозділ. Доступно для заповнення лише Ініціатору процесу"
НомерПодатковоїНакладної,O,Рядок (20),"Номер Податкової Накладної. Доступно для заповнення лише Ініціатору процесу"
СумаПодатковоїНакладної,O,Decimal (#.00),"Сума Податкової Накладної. Доступно для заповнення лише Ініціатору процесу"
НомерДоговору,O,Рядок (20),"Номер Договору"
Дебет,O,Decimal (#.00),"Заповнюється <Дебет> або <Кредит> по документу в рамках одного Контагенту"
Кредит,O,Decimal (#.00),"Заповнюється <Дебет> або <Кредит> по документу в рамках одного Контагенту"
Текст,O,Рядок (100),"Коментар до позиції"
**Документ**,,,
**Взаєморозрахунки**, , ,Взаєморозрахунки (завершення блоку)
**ЦінаРегулярна**, , ,Регулярна ціна (початок блоку)
ЦінаБезПДВ, , ,Ціна без ПДВ
ЦінаЗПДВ, , ,Ціна з ПДВ
ЦінаЗіЗнижкоюБезПДВ, , ,Ціна зі знижкою без ПДВ
ЦінаЗіЗнижкоюЗПДВ, , ,Ціна зі знижкою з ПДВ
**ЦінаРегулярна**, , ,Регулярна ціна (завершення блоку)
**СтараЦіна**, , ,Стара ціна (початок блоку)
ЦінаБезПДВ, , ,Ціна без ПДВ
ЦінаЗПДВ, , ,Ціна з ПДВ
ЦінаЗіЗнижкоюБезПДВ, , ,Ціна зі знижкою без ПДВ
ЦінаЗіЗнижкоюЗПДВ, , ,Ціна зі знижкою з ПДВ
**СтараЦіна**, , ,Стара ціна (завершення блоку)
**ПромоЦіна**, , ,Промо ціна (початок блоку)
ЦінаБезПДВ, , ,Ціна без ПДВ
ЦінаЗПДВ, , ,Ціна з ПДВ
**ПромоЦіна**, , ,Промо ціна (завершення блоку)
**ВсьогоПоДокументу**, , ,Підсумкові значення за документом (початок блоку)
СумаБезПДВ,О,Decimal (#.00),Сума без ПДВ за всіма позиціями  
ПДВ, , ,Сума ПДВ за всіма позиціями
Сума,О,Decimal (#.00),Сума за всіма позиціями
ВсьогоНадлишків, , ,Всього надлишків за всіма позиціями
ВсьогоНестач, , ,Всього нестач за всіма позиціями
Дебет, , ,Сума дебету за всіма позиціями
Кредит, , ,Сума кредиту за всіма позиціями
**ВсьогоПоДокументу**, , ,Підсумкові значення за документом (завершення блоку)
НомерДокументу,М,Рядок (20),Номер документу
ТипДокументу,М,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,М,«001» / «002» / «003» ...,"Допустимі значення:
001 => Договір; 002 => Додаткова угода; 003 => Протокол розбіжностей..."
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата документу
Індекс,М,Integer (5),Індекс
Область,О,Рядок (50),Область
Місто,М,Рядок (50),Місто
Вулиця,М,Рядок (50),Вулиця
Текст,О,Рядок (100),Додаткова інформація
ОдиницяВиміру,О,Рядок (10) ,"Одиниці виміру:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;    г. – грам..."
ПДВ,О,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
СумаБезПДВ,О,Decimal (#.00),Сума без ПДВ
Сума,О,Decimal (#.00),Сума
Кількісні, , ,Кількісні
Цінові, , ,Цінові
**Причина**,O,Кількість входжень вузла: Min = 0; Max = 1,Причина для повернення (початок блоку)
Код,M,Integer (3),"Код причини повернення:
1-Зіпсований
2- Брак
3- Бій
4- Невідповідність ціни
5- Відсутність в замовленні
6- Недовіз
7- Без документів
8- Пересорт
9- Невідповідність штрих-коду
10- Відсутність в БД
11- Нетоварний вигляд
12- Бомбаж
13- Розвакуумація
14- Понад заказу
15- Невідповідність назви
16- Невідповідність грамовки
17- Відсутність сертифікатів
18- Відсутність терміну придатності
19- Відсутність ветеринарного свідоцтва
20- Відсутність акцизних марок
21- Відсутність інформаціі для покупців
22- Відсутність рекомендованої ціни на тютюнових виробах
23- Відсутність дати виготовлення
24- Відсутність кінцевого терміну реалізації
25- Надлишки
26- Малий термін
27- Протерміновано
28- Лог дані
29- Паллетизация"
Опис,O,Рядок (50),Найменування причини повернення
Кількість,M,Decimal (#.00),Кількість товарних одиниць до повернення
ОдиницяВиміру,  ,Рядок (10),"Одиниці виміру:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;     г. – грам..."
НаСуму,O, ,Сумарна вартість товару до повернення
**Причина**, , ,Причина для повернення (завершення блоку)
**ДоПовернення**,О, ,"Товар, що підлягає поверненню (початок блоку)"
Код,М,Integer (3),"Код причини повернення:
1-Зіпсований  
2- Брак  
3- Бій  
4- Невідповідність ціни  
5- Відсутність в замовленні  
6- Недовіз  
7- Без документів  
8- Пересорт  
9- Невідповідність штрих-коду  
10- Відсутність в БД  
11- Нетоварний вигляд  
12- Бомбаж  
13- Розвакуумація  
14- Понад заказу  
15- Невідповідність назви  
16- Невідповідність грамовки  
17- Відсутність сертифікатів  
18- Відсутність терміну придатності  
19- Відсутність ветеринарного свідоцтва  
20- Відсутність акцизних марок  
21- Відсутність інформаціі для покупців  
22- Відсутність рекомендованої ціни на тютюнових виробах  
23- Відсутність дати виготовлення  
24- Відсутність кінцевого терміну реалізації
25- Надлишки
26- Малий термін
27- Протерміновано"
Опис,О,Рядок (50),Найменування причини повернення
НаСуму,О, ,Сумарна вартість товару до повернення
Кількість,М,Decimal (#.00),Кількість товарних одиниць до повернення
ОдиницяВиміру,М,Рядок (10),"Одиниці виміру:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;     г. – грам..."
**ПричинаПовернення**,О, ,Причина повернення товару (початок блоку)
Код,М,Рядок (3),Код причини повернення. Допустимі значення: 12E - Товар повертається згідно умов договору
Опис,О,Рядок (30),Найменування причини повернення
**ПричинаПовернення**, , ,Причина повернення товару (завершення блоку)
**ДоПовернення**, , ,"Товар, що підлягає поверненню (завершення блоку)"
**РозходженняПоРядку**, , ,Розходження (початок блоку)
Сума,О,Decimal (#.00),Сума
ЦінаНеПрийнята, , ,Ціна розходження
КількістьНеПрийнята, , ,Кількість розходження
СумаНеПрийнята, , ,Сума розходження
**РозходженняПоРядку**, , ,Розходження (завершення блоку)
ЦінаПостачальника, , ,Ціна постачальника
Текст,О,Рядок (100),Додаткова інформація 
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ЗагальнеПоКонтрагентам**,M,Min=1; Max=1, (початок блоку)
**ЗагальнеПоКонтрагенту**,M,Min=2; Max=2,Ініціатор процесу завжди заповнює (початок блоку)
Текст,O,Рядок (100),
СальдоПочатковеДебет,M,Decimal (#.00),
СальдоПочатковеКредит,M,Decimal (#.00),
ОборотиЗаПеріодДебет,M,Decimal (#.00),
ОборотиЗаПеріодКредит,M,Decimal (#.00),
СальдоКінцевеДебет,M,Decimal (#.00),
СальдоКінцевеКредит,M,Decimal (#.00),
**ЗагальнеПоКонтрагенту**,,, (завершення блоку)
**ЗагальнеПоКонтрагентам**,,, (завершення блоку)
**ВсьогоПоДокументу**,О,Сумарні значення позицій за документом (початок блоку),
СумаБезПДВ,О,Decimal (#.00),Сума без ПДВ
ПДВ,О,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
Сума,О,Decimal (#.00),Сума	 
**ВсьогоПоДокументу**,О, ,Сумарні значення позицій за документом (завершення блоку)
**ЕлектроннийДокумент**,О, ,Завершення документу
