Назва поля,Тип,Формат,Опис
СтатусКонтрагента,М,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,М,Рядок (20),"Допустимі значення:
Юридична
Фізична "
НазваКонтрагента,М,Рядок (50),Назва контрагента
КодКонтрагента,М,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,М,Рядок (12),Індивідуальний податковий номер контрагента
СвідоцтвоПДВ,О,Integer (10),Свідоцтво ПДВ контрагента
МФО,О,Integer (6),МФО банку контрагента
ПоточРах,О,Рядок ,Поточний рахунок контрагента
IBAN,О,Рядок ,IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**ЮрАдреса**,О, ,Юридична адреса контрагента (початок блоку)
Індекс,М,Integer (5),Індекс
Область,О,Рядок (50),Область
Місто,М,Рядок (50),Місто
Вулиця,М,Рядок (50),Вулиця
**ЮрАдреса**, , ,Юридична адреса контрагента (завершення блоку) 
**ФактАдреса**,О, ,Фактична адреса контрагента (початок блоку)
Індекс,М,Integer (5),Індекс
Область,О,Рядок (50),Область
Місто,М,Рядок (50),Місто
Вулиця,М,Рядок (50),Вулиця
**ФактАдреса**, , ,Фактична адреса контрагента (завершення блоку) 
**ПоштАдреса**,О, ,Поштова адреса контрагента (початок блоку)
Індекс,М,Integer (5),Індекс
Область,О,Рядок (50),Область
Місто,М,Рядок (50),Місто
Вулиця,М,Рядок (50),Вулиця
**ПоштАдреса**, , ,Поштова адреса контрагента (завершення блоку)
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**Параметри**,О, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до специфікації"
Параметр,O,Рядок (50),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**Параметри**,О, ,Параметри (завершення блоку)
**Таблиця**,M,Кількіть входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,М,Integer (3),Номер позиції
Найменування,М,Рядок (50),Найменування товарної позиції
Номер,О, ,Номер
Дата,О,Дата (РРРР-ММ-ДД),Дата
Текст,О,Рядок (100),Додаткова інформація
**Взаєморозрахунки**,O, ,Взаєморозрахунки (початок блоку)
**Документ**,M,Min=1; Max=1,"Ініціатор процесу завжди заповнює. В акті з розходженнями може бути відсутнім"
Дата,M,Дата (РРРР-ММ-ДД),"Дата операції. В акті з розходженнями може бути відсутнім"
Номер,M,Рядок (20),"В акті з розходженнями може бути відсутнім"
Найменування,O,Рядок (50),"Тип документу"
ВидОперації,O,Рядок (20),"Вид Операції. Доступно для заповнення лише Ініціатору процесу"
Підрозділ,O,Рядок (30),"Підрозділ. Доступно для заповнення лише Ініціатору процесу"
НомерПодатковоїНакладної,O,Рядок (20),"Номер Податкової Накладної. Доступно для заповнення лише Ініціатору процесу"
СумаПодатковоїНакладної,O,Decimal (#.00),"Сума Податкової Накладної. Доступно для заповнення лише Ініціатору процесу"
НомерДоговору,O,Рядок (20),"Номер Договору"
Дебет,O,Decimal (#.00),"Заповнюється <Дебет> або <Кредит> по документу в рамках одного Контагенту"
Кредит,O,Decimal (#.00),"Заповнюється <Дебет> або <Кредит> по документу в рамках одного Контагенту"
Текст,O,Рядок (100),"Коментар до позиції"
**Документ**,,,
**Взаєморозрахунки**, , ,Взаєморозрахунки (завершення блоку)
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ЗагальнеПоКонтрагентам**,M,Min=1; Max=1, (початок блоку)
**ЗагальнеПоКонтрагенту**,M,Min=2; Max=2,Ініціатор процесу завжди заповнює (початок блоку)
Текст,O,Рядок (100),
СальдоПочатковеДебет,M,Decimal (#.00),
СальдоПочатковеКредит,M,Decimal (#.00),
ОборотиЗаПеріодДебет,M,Decimal (#.00),
ОборотиЗаПеріодКредит,M,Decimal (#.00),
СальдоКінцевеДебет,M,Decimal (#.00),
СальдоКінцевеКредит,M,Decimal (#.00),
**ЗагальнеПоКонтрагенту**,,, (завершення блоку)
**ЗагальнеПоКонтрагентам**,,, (завершення блоку)
**ЕлектроннийДокумент**, , ,Завершення документу
