Название поля,Тип,Формат,Описание
INVOICEPARTNER,O,Число (13),GLN плательщика
INVOICEPARTNERINN,O,Число положительное,ИНН плательщика
FINALRECIPIENT,O,Число (13),GLN конечного консигнатора
ORDERPARTNER,O,Число (13),GLN заказчика
CONSEGNOR,О,Число (13),GLN грузоотправителя
CONSEGNORNAME,O,Строка (35),Имя грузоотправителя
CONSEGNORADRESS,O,Строка (35),Адрес грузоотправителя
CONSEGNORCITY,O,Строка (35),Город грузоотправителя
CONSEGNORZIP,O,Число положительное,Индекс грузоотправителя
CONSIGNEE,О,Число (13),GLN грузополучателя
CONSIGNEENAME,O,Строка (35),Имя грузополучателя
CONSIGNEEADRESS,O,Строка (35),Адрес грузополучателя
CONSIGNEECITY,O,Строка (35),Город грузополучателя
CONSIGNEEZIP,O,Число положительное,Индекс грузополучателя
CONSIGNEEINN,O,Число положительное,ИНН грузополучателя
SENDER,М,Число (13),GLN отправителя сообщения
RECIPIENT,М,Число (13),GLN получателя сообщения
EDIINTERCHANGEID,O,Строка (70),Номер транзакции
BANKNAME,O,Строка (70),Наименование банка
BANKMFONUMBER,О,Число (6),МФО банка
BANKACCOUNT, ,Строка (35),Номер р/с
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,М,"Число *1, 100+",Номер позиции.
PRODUCT,М,"Число (8, 10, 14)",Штрихкод продукта
PRODUCTIDSUPPLIER,О,Строка (16),Артикул в БД поставщика
PRODUCTIDBUYER,О,Строка (16),Артикул в БД покупателя
BUYERPARTNUMBER,О,Строка (16),Внутренний системный номер артикула в БД покупателя
PRODINN,O,Число положительное,ИНН производителя/импортера
INVOICEDQUANTITY,М,Число положительное,Количество по счету
QUANTITYOFCUINTU,O,Число положительное,Количество в упаковке
INVOICEUNIT,O,Строка (3),Единицы измерения
UNITPRICE,М,Число десятичное,Цена за единицу (без НДС)
ADVICEPRICE,O,Число десятичное,Рекомендованная цена (государством)
GROSSPRICE,O,Число десятичное,Цена за единицу с НДС
GROSSAMOUNT,O,Число десятичное,Сумма с НДС
AMOUNT,М,Число десятичное,Сумма товара (без НДС)
COUNTRYORIGIN,О,Строка (2),Страна производитель
CUSTOMSTARIFFNUMBER,О,Строка (35),Номер государственной таможенной декларации (ГТД)
CUSTOMSTARIFFNUMBERDATE,О,Дата (ГГГГ-ММ-ДД),Дата ГТД
FOREIGNTRADECODE,О,Строка (35),Код товара по УКТВЭД11 (для Украины)
DESCRIPTION,О,Строка (70),Описание продукта
AMOUNTTYPE,М,Число (3),Служебное поле
**TAX**, , ,Логистика (начало блока)
FUNCTION,М,Число (1),"5 — таможенная пошлина, 6 — денежный сбор, 7 — налог"
TAXTYPECODE,М,Строка (3),Код налога (НДС)
TAXRATE,М,Число (3),"Ставка налога (НДС, %)"
TAXAMOUNT,М,Число десятичное,НДС
CATEGORY,М,Строка (1),"S — стандартная, А — смешанная, Z — нулевой сбор"
**TAX**, , ,Логистика (окончание блока)
PRODUCTIONCODE, ,Строка (16),Код алкогольной продукции
**BOTTLING**, , ,Партия розлива (начало блока)
BOTTLINGNUMBER, ,Число (2),Номер партии розлива
BOTTLINGDATE, ,Дата (ГГГГ-ММ-ДД),Дата партии розлива
**BOTTLING**, , ,Партия розлива (окончание блока)
**POSITION**, , ,Товарные позиции (окончание блока)
**HEAD**, , ,Окончание основного блока
**INVOICE**, , ,Окончание документа
