Название поля,Тип,Формат,Описание
КодТипуДокументу,М,«001» ... «031»,"Допустимые значения
001 => Договір
002 => Додаткова угода
003 => Протокол розбіжностей
004 => Акт приймання продукції (товару) за кількістю та якістю
005 => Акт про виявлені недоліки
006 => Видаткова накладна
007 => Прибуткова накладна
008 => Товарна специфікація
009 => Акт невідповідності
010 => Накладна
011 => Повідомлення про повернення
012 => Накладна на повернення
013 => Акт виконаних робіт
014 => Акт звірки взаєморозрахунків
015 => Акт взаємозаліку
016 => Рахунок-фактура
017 => Акт про виявлення невідповідностей
018 => Акт наданих послуг
019 => Анулювання
020 => Звіт комітенту
021 => Повідомлення про відмову від підписання документу
022 => Накладна на переміщення
023 => Специфікація послуг по перевезеннях
024 => Звіт комітенту по еквайрингу
025 => Рахунок по еквайрингу
026 => Зведена специфікація послуг
027 => Товарна накладна
028 => Заявка на транспортно-експедиційне обслуговування
029 => Акт звірки взаєморозрахунків зведений
030 => Претензія
031 => Накладна на зворотну тару"
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата составления документа
**ДокПідстава**, , ,Документ-основание (окончание блока)
**Заголовок**, , ,Заглавие (окончание блока)
**Сторони**,M,Количество вхождений узла: Min = 1; Max = 1,"Стороны, между которыми заключен договор (начало блока)"
**Контрагент**,М,Количество вхождений узла: Min = 2; Max = 10,"Контрагент (начало блока). Первым указывается блок отправителя, другим – получателя"
СтатусКонтрагента,М,Строка (30),"Допустимые значения:
Покупець
Постачальник
Отримувач 
Продавець 
Замовник 
Виконавець
Перевізник
Платник
Підрядник
Відправник
Вантажоодержувач
Вантажовідправник
Експедитор
Клієнт
Консультант"
ВидОсоби,М,Строка (20),"Допустимые значения:
Юридична
Фізична "
НазваКонтрагента,М,Строка (50),Название контрагента
КодКонтрагента,М,Строка (8),"Значением элемента является код плательщика согласно ЕГРПОУ (Регистрационный (учетный) номер из Временного реестра ГНА Украины) или регистрационный номер учетной карточки плательщика (номер паспорта, записанный как последовательность двух больших букв украинского алфавита и шести цифр)"
ІПН,М,Строка (12),Индивидуальный налоговый номер контрагента
СвідоцтвоПДВ,О,Integer (10),Свидетельство НДС контрагента
МФО,О,Integer (6),МФО банка контрагента
ПоточРах,О,Строка ,Текущий счет контрагента
Банк, , ,Банк контрагента
IBAN,О,Строка ,IBAN (международный номер банковского счета; используется при международных расчетах)
Телефон,О,Строка (20),Телефон
GLN,M,Integer (13),Глобальный номер местоположения (GLN) контрагента
**ЮрАдреса**,О, ,Юридический адрес контрагента (начало блока)
Індекс,М,Integer (5),Индекс
Область,О,Строка (50),Область
Місто,М,Строка (50),Город
Вулиця,М,Строка (50),Улица
**ЮрАдреса**, , ,Юридический адрес контрагента (окончание блока)
**Контрагент**, , ,Контрагент (окончание блока)
**Сторони**, , ,"Стороны, между которыми заключен договор (окончание блока)"
**Параметри**,О, ,"Параметры (начало блока). Тег предусматривает произвольное значение; используется для передачи дополнительной информации, не входит в спецификации"
Параметр,O,Строка (50),Максимальное количество тегов – 99. У каждого следующего тега идентификатор (ІД) увеличивается на единицу.
**Параметри**,О, ,Параметры (окончание блока)
**Таблиця**,О,Количество вхождений узла: Min = 0; Max = 1,Таблица (начало блока)
**Рядок**,M,Количество вхождений узла: Min = 1;Max = 9999,Строка (начало блока). У каждого следующего тега идентификатор (ІД) увеличивается на единицу
НомПоз,М,Integer (3),Номер позиции
Штрихкод,M,Integer (13),Штрих-код. Максимальное количество тегов – 99. У каждого следующего тега идентификатор (ІД) увеличивается на единицу.
Найменування,М,Строка (50),Название товарной позиции
ОдиницяВиміру,M,Строка (10),"Единицы измерения:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;    г. – грам;"
БазоваЦіна,M,Decimal (#.00),Цена за единицу без НДС
ПДВ,О,Decimal (#.00),Сумма НДС в единице товара (услуги)
Ціна,О,Decimal (#.00),Цена за единицу с НДС
Кількість,М,Decimal (#.00),Количество товарных единиц
**ВсьогоПоРядку**,О,Количество вхождений узла: Min = 0; Max = 1,Общая сумма по строке (начало блока)
СумаБезПДВ,О,Decimal (#.00),Сумма без НДС
СумаПДВ,О,Decimal (#.00),Сумма НДС
Сума,О,Decimal (#.00),Сумма
**ВсьогоПоРядку**, , ,Общая сумма по строке (окончание блока)
СтавкаПДВ, , ,Ставка налога на добавленную стоимость
**Рядок**, , ,Строчка (окончание блока)
**Таблиця**, , ,Таблица (окончание блока)
**ВсьогоПоДокументу**,О, ,Суммарные значения позиций по документу (начало блока)
СумаБезПДВ,M,Decimal (#.00),Сумма без НДС
ПДВ,О,Decimal (#.00),Сумма НДС в единице товара (послуги)
Сума,О,Decimal (#.00),Сумма   
**ВсьогоПоДокументу**,О, ,Суммарные значения позиций по документу (окончание блока)
**ЕлектроннийДокумент**, , ,Окончание документа
