Назва поля,Тип,Формат,Опис
КодКонтрагента,М,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,М,Рядок (12),Індивідуальний податковий номер контрагента
IBAN,О,Рядок ,IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,О,Рядок (20),Телефон
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**Параметри**,О, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до специфікації"
Параметр,O,Рядок (50),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**Параметри**,О, ,Параметри (завершення блоку)
**Таблиця**,О,Кількітьходженьвузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,М,Integer (3),Номер позиції
Штрихкод,О,Integer (13),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
АртикулПокупця,О,Рядок (10),Артикул покупця
АртикулПродавця,О,Рядок (10),Артикул продавця
КодУКТЗЕД,О,Integer (10),Код товару згідно з УКТ ЗЕД; для COMDOC 006 значення не менше 4 і не більше 10 символів
Найменування,М,Рядок (50),Найменування товарної позиції
ПрийнятаКількість,О,Decimal (#.00),Прийнята кількість товарних позицій 
ОдиницяВиміру,О,Рядок (10),"Одиниці виміру:
шт. – штука;      уп. – упаковка;
л. – літр;               послуга;
кг. – кілограм;    г. – грам..."
БазоваЦіна,О,Decimal (#.00),Ціна за одиницю без ПДВ
ПДВ,О,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
Ціна,О,Decimal (#.00),Ціна за одиницю з ПДВ
**ВсьогоПоРядку**,О,Кількість входжень вузла: Min = 0; Max = 1,Загальна сума по рядку (початок блоку)
СумаБезПДВ,О,Decimal (#.00),Сума без ПДВ без знижки
СумаПДВ,О,Decimal (#.00),Сума ПДВ
Сума,О,Decimal (#.00),Сума
СумаЗіЗнижкоюБезПДВ,О,Decimal (#.00),Сума без ПДВ зі знижкою
СумаЗіЗнижкоюЗПДВ,О,Decimal (#.00),Сума з ПДВ зі знижкою
**ВсьогоПоРядку**, , ,Загальна сума по рядку (завершення блоку)
**ЦінаРегулярна**,О, ,Регулярна ціна (початок блоку)
ЦінаБезПДВ,О,Decimal (#.00),Цiна без ПДВ
ЦінаЗіЗнижкоюБезПДВ,О,Decimal (#.00),Цiна без ПДВ зі знижкою
ЦінаЗіЗнижкоюЗПДВ,О,Decimal (#.00),Цiна з ПДВ зі знижкою
**ЦінаРегулярна**, , ,Регулярна ціна (завершення блоку)
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ВсьогоПоДокументу**,О,,Сумарні значення позицій за документом (початок блоку)
СумаБезПДВ,О,Decimal (#.00),Сума по всім позиціям без ПДВ без знижки
ВсьогоЗіЗнижкоюБезПДВ,О,Decimal (#.00),Сума по всім позиціям без ПДВ зі знижкою
ВсьогоЗіЗнижкоюЗПДВ,О,Decimal (#.00),Сума по всім позиціям з ПДВ зі знижкою
ПДВ,О,Decimal (#.00),Сума ПДВ в одиниці товару (послуги)
Сума,О,Decimal (#.00),Сума   
**ВсьогоПоДокументу**,О, ,Сумарні значення позицій за документом (завершення блоку)
**ЕлектроннийДокумент**,О, ,Завершення документу
